Data Pedido,ID Cliente,ID Produto,Vendas
11-09-2014,LC-16930,TEC-PH-10004093,147.168
18-07-2013,RA-19885,OFF-ST-10003479,77.88
20-09-2014,ES-14080,OFF-ST-10003282,95.616
12-03-2013,ON-18715,TEC-AC-10000171,45.98
12-03-2013,ON-18715,OFF-BI-10003291,17.46
20-10-2011,PO-18865,OFF-ST-10001713,211.96
21-06-2013,LH-16900,TEC-AC-10002167,45.0
21-06-2013,LH-16900,TEC-PH-10003988,21.8
18-04-2012,DP-13000,OFF-BI-10004410,38.22
18-04-2012,DP-13000,OFF-LA-10002762,75.18
18-04-2012,DP-13000,FUR-FU-10001706,6.16
18-04-2012,DP-13000,FUR-CH-10003061,89.99
12-12-2013,JM-15265,OFF-FA-10000304,15.26
12-12-2013,JM-15265,TEC-PH-10002447,1029.95
18-06-2013,TB-21055,OFF-ST-10000604,208.56
18-06-2013,TB-21055,OFF-PA-10001569,32.4
18-06-2013,TB-21055,FUR-CH-10003968,319.41
18-06-2013,TB-21055,OFF-PA-10000587,14.56
18-06-2013,TB-21055,TEC-AC-10002167,30.0
18-06-2013,TB-21055,OFF-BI-10001460,48.48
18-06-2013,TB-21055,OFF-AR-10001868,1.68
24-11-2012,KM-16720,TEC-AC-10004633,13.98
24-11-2012,KM-16720,OFF-BI-10001078,25.824
24-11-2012,KM-16720,OFF-PA-10003892,146.73
24-11-2012,KM-16720,FUR-FU-10000397,79.76
30-04-2012,PS-18970,FUR-CH-10001146,213.115
05-12-2011,BS-11590,OFF-AR-10002671,1113.024
05-12-2011,BS-11590,TEC-PH-10002726,167.968
05-06-2013,KD-16270,OFF-PA-10000482,75.88
19-09-2013,HM-14980,OFF-BI-10004654,4.616
15-09-2014,TB-21520,OFF-PA-10004675,19.05
26-04-2012,JE-15745,FUR-CH-10000513,831.936
26-04-2012,JE-15745,FUR-FU-10003708,97.04
26-04-2012,JE-15745,OFF-ST-10004123,72.784
10-12-2014,KB-16600,OFF-BI-10004182,1.248
10-12-2014,KB-16600,FUR-FU-10000260,9.708
10-12-2014,KB-16600,OFF-ST-10000615,27.24
26-11-2011,JE-15745,FUR-FU-10003194,19.3
13-06-2013,SC-20770,OFF-AP-10002118,208.16
13-06-2013,SC-20770,OFF-BI-10002309,16.74
12-10-2011,DN-13690,OFF-AR-10002053,14.9
12-10-2011,DN-13690,OFF-ST-10002370,21.39
03-09-2012,JC-16105,OFF-EN-10000927,200.984
14-11-2014,CS-12400,OFF-ST-10003656,230.376
29-05-2014,PO-18865,FUR-CH-10000863,301.96
27-10-2014,PG-18895,TEC-AC-10001998,19.99
27-10-2014,PG-18895,OFF-LA-10000134,6.16
06-04-2013,GM-14455,OFF-ST-10003442,158.368
18-09-2013,JS-15685,OFF-AR-10004930,20.1
18-09-2013,JS-15685,TEC-PH-10004093,73.584
18-09-2013,JS-15685,OFF-PA-10000304,6.48
31-01-2012,KB-16315,OFF-PA-10003177,12.96
31-01-2012,KB-16315,FUR-FU-10003799,53.34
31-01-2012,KB-16315,OFF-BI-10002852,32.96
07-11-2014,RB-19705,OFF-BI-10004738,5.682
10-11-2014,PN-18775,FUR-FU-10000629,96.53
18-06-2014,KD-16345,OFF-BI-10001721,51.312
07-09-2013,ER-13855,OFF-AP-10000358,77.88
30-08-2013,RB-19465,OFF-PA-10003256,64.624
30-08-2013,RB-19465,TEC-AC-10001767,95.976
30-08-2013,RB-19465,OFF-BI-10002609,1.788
02-12-2013,GZ-14470,OFF-PA-10004040,23.92
13-11-2012,LC-16870,TEC-AC-10001552,238.896
13-11-2012,LC-16870,FUR-FU-10004006,102.36
13-11-2012,LC-16870,OFF-BI-10002794,36.882
24-11-2014,JM-15250,TEC-AC-10003499,74.112
24-11-2014,JM-15250,TEC-PH-10002844,27.992
24-11-2014,JM-15250,OFF-AR-10000390,3.304
15-10-2012,PA-19060,TEC-AC-10000844,339.96
26-12-2014,CV-12805,FUR-FU-10001934,41.96
04-11-2013,CL-12565,OFF-AR-10000380,75.96
04-11-2013,CL-12565,OFF-BI-10003981,27.24
25-08-2011,RC-19960,OFF-FA-10000621,40.096
25-08-2011,RC-19960,OFF-EN-10002600,4.72
25-08-2011,RC-19960,OFF-PA-10004965,23.976
25-08-2011,RC-19960,OFF-EN-10002504,130.464
02-03-2012,DK-13090,FUR-TA-10001768,787.53
05-04-2012,GG-14650,OFF-BI-10003650,157.794
13-06-2013,SC-20725,FUR-FU-10002157,47.04
13-06-2013,SC-20725,OFF-BI-10003910,30.84
13-06-2013,SC-20725,OFF-ST-10000777,226.56
13-06-2013,SC-20725,OFF-EN-10002500,115.02
13-06-2013,SC-20725,TEC-PH-10003875,68.04
26-12-2011,AD-10180,FUR-CH-10004063,600.558
20-09-2011,PF-19165,FUR-TA-10004534,617.7
06-11-2014,TS-21610,OFF-BI-10003274,2.388
06-11-2014,TS-21610,OFF-ST-10002974,243.992
07-11-2013,LS-16975,FUR-CH-10001146,81.424
07-11-2013,LS-16975,FUR-FU-10003773,238.56
03-02-2014,DW-13585,TEC-PH-10002293,59.97
03-02-2014,DW-13585,OFF-PA-10002377,78.304
03-02-2014,DW-13585,OFF-FA-10002780,21.456
14-10-2013,LC-16885,OFF-PA-10001804,20.04
14-10-2013,LC-16885,OFF-PA-10001736,35.44
14-10-2013,LC-16885,OFF-AR-10001149,11.52
14-10-2013,LC-16885,OFF-FA-10002988,4.02
14-10-2013,LC-16885,OFF-BI-10004781,76.176
14-10-2013,LC-16885,OFF-SU-10001218,65.88
14-10-2013,LC-16885,FUR-FU-10001706,43.12
06-09-2013,JD-15895,FUR-FU-10004848,82.8
19-09-2014,SH-19975,OFF-AR-10000940,8.82
19-09-2014,SH-19975,OFF-EN-10004030,10.86
19-09-2014,SH-19975,OFF-PA-10004327,143.7
23-12-2014,SG-20080,OFF-AP-10001058,839.43
07-09-2012,HA-14920,OFF-ST-10003656,671.93
22-10-2011,MG-17680,FUR-FU-10000521,93.888
06-12-2013,JE-16165,TEC-PH-10000215,384.45
06-12-2013,JE-16165,TEC-PH-10001448,149.97
06-12-2013,JE-16165,FUR-CH-10000454,1951.84
06-12-2013,JE-16165,OFF-BI-10002735,171.55
14-03-2013,TW-21025,OFF-AP-10000326,157.92
14-03-2013,TW-21025,TEC-PH-10001254,203.184
31-05-2012,SP-20650,OFF-PA-10001950,58.38
31-05-2012,SP-20650,OFF-PA-10002254,105.52
31-05-2012,SP-20650,OFF-ST-10001590,80.88
28-05-2012,NK-18490,OFF-AR-10001547,6.63
01-03-2011,DB-13060,FUR-CH-10004063,457.568
21-11-2013,NP-18670,OFF-LA-10002475,14.62
21-11-2013,NP-18670,TEC-PH-10004536,944.93
12-05-2013,TT-21070,OFF-PA-10002751,5.98
28-12-2012,EM-13960,TEC-AC-10003657,54.384
17-11-2013,RD-19900,OFF-EN-10001990,28.4
08-11-2013,MJ-17740,OFF-BI-10004002,27.68
08-09-2011,BM-11140,OFF-AR-10004441,9.936
08-09-2011,BM-11140,TEC-MA-10000822,8159.952
08-09-2011,BM-11140,OFF-ST-10000991,275.928
08-09-2011,BM-11140,FUR-CH-10004287,1740.06
08-09-2011,BM-11140,OFF-AR-10002656,32.064
08-09-2011,BM-11140,OFF-AP-10002518,177.98
08-09-2011,BM-11140,TEC-PH-10003931,143.976
05-08-2011,CS-12130,OFF-PA-10000659,20.94
05-08-2011,CS-12130,OFF-PA-10001144,110.96
05-08-2011,CS-12130,FUR-CH-10003817,340.144
14-09-2011,JB-15400,OFF-AP-10000891,52.448
14-09-2011,JB-15400,OFF-LA-10003148,20.16
22-04-2014,SJ-20500,OFF-AP-10002684,97.264
21-11-2012,JE-15745,FUR-CH-10004698,396.802
21-11-2012,JE-15745,OFF-SU-10002189,15.88
15-12-2012,JK-15640,OFF-AR-10001940,3.28
05-12-2011,DK-13150,OFF-ST-10003455,24.816
05-12-2011,DK-13150,TEC-AC-10004659,408.744
19-11-2011,RM-19675,TEC-PH-10003273,503.96
19-11-2011,RM-19675,TEC-PH-10004896,149.95
19-11-2011,RM-19675,TEC-AC-10002345,29.0
29-11-2013,SK-19990,OFF-BI-10001890,7.16
26-08-2011,FM-14290,TEC-AC-10002323,176.8
17-07-2013,AM-10360,OFF-ST-10001328,37.224
17-07-2013,AM-10360,OFF-PA-10001950,20.016
12-10-2012,MP-17470,FUR-BO-10002613,899.136
12-10-2012,MP-17470,TEC-PH-10001552,71.76
12-10-2012,MP-17470,OFF-PA-10000061,51.84
12-10-2012,MP-17470,FUR-BO-10002545,626.352
12-10-2012,MP-17470,OFF-AR-10003514,19.9
31-10-2012,MZ-17515,OFF-EN-10001509,14.28
21-03-2011,CB-12025,OFF-AR-10004685,7.408
21-03-2011,CB-12025,OFF-AR-10004027,6.048
07-11-2014,VM-21685,OFF-ST-10001414,46.26
07-07-2014,FH-14365,OFF-BI-10000343,2.946
07-07-2014,FH-14365,OFF-PA-10002749,16.056
25-06-2014,MB-17305,OFF-PA-10002666,21.744
03-08-2011,BS-11755,FUR-TA-10004289,218.75
03-08-2011,BS-11755,OFF-AP-10003622,2.6
18-12-2014,LC-17140,OFF-AP-10003217,66.284
04-06-2014,HK-14890,FUR-FU-10002960,35.168
10-12-2014,LE-16810,TEC-PH-10001918,444.768
02-12-2014,JH-15985,OFF-ST-10000642,83.92
02-12-2014,JH-15985,TEC-PH-10001700,131.98
02-12-2014,JH-15985,OFF-BI-10003274,15.92
02-12-2014,JH-15985,OFF-FA-10000134,52.29
02-12-2014,JH-15985,OFF-ST-10001522,91.99
09-02-2012,MS-17980,TEC-AC-10001266,20.8
02-01-2012,VW-21775,OFF-LA-10004544,23.68
02-01-2012,VW-21775,FUR-BO-10004695,452.45
02-01-2012,VW-21775,TEC-PH-10002844,62.982
02-01-2012,VW-21775,TEC-MA-10000864,1188.0
02-01-2012,VW-21775,TEC-AC-10000109,89.584
29-10-2013,JH-15910,OFF-ST-10001328,93.06
29-10-2013,JH-15910,TEC-PH-10002563,302.376
24-12-2012,JB-15925,OFF-FA-10000585,5.584
24-12-2012,JB-15925,OFF-PA-10004000,22.704
24-12-2012,JB-15925,OFF-BI-10002852,19.776
24-12-2012,JB-15925,FUR-FU-10000087,72.704
24-12-2012,JB-15925,TEC-MA-10001148,479.988
24-12-2012,JB-15925,OFF-AR-10001958,27.168
09-08-2012,DS-13180,OFF-AR-10001026,2.2
09-08-2012,DS-13180,FUR-TA-10003748,622.45
09-08-2012,DS-13180,OFF-ST-10002485,21.98
28-02-2012,VD-21670,FUR-CH-10004860,161.568
28-02-2012,VD-21670,FUR-CH-10004477,389.696
13-09-2011,EA-14035,OFF-BI-10001679,18.648
08-04-2014,CS-12400,FUR-TA-10001705,233.86
08-04-2014,CS-12400,FUR-TA-10003473,620.6145
08-04-2014,CS-12400,OFF-BI-10001679,5.328
08-04-2014,CS-12400,FUR-FU-10004017,258.072
08-04-2014,CS-12400,TEC-AC-10003832,617.976
13-11-2014,DB-13120,OFF-PA-10002479,10.56
05-06-2013,KL-16645,OFF-PA-10003349,25.92
05-06-2013,KL-16645,FUR-FU-10000576,419.68
05-06-2013,KL-16645,FUR-FU-10004351,11.688
05-06-2013,KL-16645,TEC-PH-10000011,31.984
05-06-2013,KL-16645,FUR-TA-10002607,177.225
05-06-2013,KL-16645,FUR-FU-10002505,4.044
05-06-2013,KL-16645,OFF-AR-10004685,7.408
01-06-2011,DW-13480,FUR-CH-10004063,2001.86
01-06-2011,DW-13480,OFF-ST-10002276,166.72
01-06-2011,DW-13480,OFF-PA-10004082,47.88
01-06-2011,DW-13480,OFF-AP-10002945,1503.25
01-06-2011,DW-13480,OFF-PA-10000061,25.92
11-12-2013,LH-17155,FUR-CH-10002965,321.568
12-09-2013,KC-16540,OFF-PA-10004569,7.61
12-09-2013,KC-16540,TEC-AC-10003832,3347.37
11-12-2013,DL-13315,OFF-ST-10001228,80.58
11-12-2013,DL-13315,OFF-EN-10003296,361.92
28-11-2012,DR-12880,FUR-FU-10002505,12.132
28-11-2012,DR-12880,OFF-ST-10004804,82.368
28-11-2012,DR-12880,OFF-ST-10001590,53.92
28-11-2012,DR-12880,TEC-PH-10001580,647.904
02-12-2014,CC-12670,TEC-AC-10000290,20.37
02-12-2014,CC-12670,OFF-ST-10002790,221.55
02-12-2014,CC-12670,OFF-BI-10003460,17.52
09-06-2014,Dl-13600,OFF-AP-10002203,1.624
19-09-2011,SB-20290,TEC-MA-10000822,3059.982
19-09-2011,SB-20290,TEC-MA-10003353,2519.958
07-06-2013,RC-19825,TEC-PH-10001433,328.224
10-11-2012,AH-10210,TEC-AC-10004469,79.9
17-06-2014,CB-12535,OFF-AR-10003602,14.016
22-01-2013,PG-18895,OFF-FA-10003472,7.56
10-12-2014,CA-12310,OFF-ST-10004180,37.208
10-12-2014,CA-12310,OFF-EN-10004386,57.576
29-12-2014,KH-16690,OFF-ST-10003208,725.84
30-07-2012,HA-14920,TEC-AC-10003628,209.93
30-07-2012,HA-14920,FUR-FU-10003274,5.28
30-07-2012,HA-14920,OFF-BI-10002557,10.92
17-09-2014,BB-10990,OFF-PA-10002615,8.82
17-09-2014,BB-10990,OFF-AR-10001427,5.98
14-10-2014,AG-10495,OFF-PA-10000673,11.648
14-10-2014,AG-10495,OFF-PA-10004470,18.176
14-10-2014,AG-10495,OFF-ST-10000876,59.712
14-10-2014,AG-10495,OFF-LA-10002043,24.84
26-09-2012,SC-20725,OFF-BI-10004967,2.08
26-09-2012,SC-20725,TEC-PH-10001760,1114.4
02-11-2012,JO-15280,FUR-TA-10002903,1038.84
26-09-2012,TB-21520,OFF-PA-10000474,141.76
26-09-2012,TB-21520,TEC-AC-10001956,239.8
26-09-2012,TB-21520,OFF-PA-10004100,31.104
19-12-2013,AH-10195,OFF-BI-10000778,254.058
19-12-2013,AH-10195,OFF-AP-10002684,194.528
19-12-2013,AH-10195,OFF-SU-10000646,961.48
21-11-2013,NZ-18565,OFF-FA-10002983,19.096
21-11-2013,NZ-18565,OFF-LA-10004689,18.496
21-11-2013,NZ-18565,TEC-AC-10002001,255.984
21-11-2013,NZ-18565,FUR-BO-10004709,86.97
26-12-2011,KL-16555,FUR-FU-10004091,300.416
26-12-2011,KL-16555,FUR-CH-10001891,230.352
26-12-2011,KL-16555,FUR-FU-10002918,218.352
26-12-2011,KL-16555,OFF-BI-10004593,78.6
26-12-2011,KL-16555,OFF-FA-10004854,27.552
29-10-2013,JD-15895,OFF-PA-10002105,32.4
29-10-2013,JD-15895,OFF-ST-10002756,1082.48
29-10-2013,JD-15895,OFF-PA-10004243,56.91
29-10-2013,JD-15895,FUR-FU-10001861,77.6
29-10-2013,JD-15895,OFF-BI-10002706,14.28
20-11-2014,JH-15910,FUR-TA-10002533,219.075
04-05-2012,AS-10225,FUR-FU-10002671,26.8
30-12-2011,KB-16600,OFF-AR-10003651,9.84
01-06-2011,CR-12625,OFF-BI-10001072,45.48
01-06-2011,CR-12625,OFF-AR-10002135,289.2
16-04-2014,SH-20395,OFF-AR-10002804,4.89
13-09-2013,BP-11185,FUR-FU-10001918,15.136
13-09-2013,BP-11185,FUR-CH-10004086,466.768
13-09-2013,BP-11185,FUR-FU-10001756,15.232
13-09-2013,BP-11185,OFF-LA-10000634,6.264
27-09-2011,TS-21205,FUR-FU-10001588,87.54
09-08-2011,AG-10525,TEC-PH-10002398,178.384
09-08-2011,AG-10525,OFF-PA-10001937,15.552
28-12-2011,SP-20860,OFF-AR-10003373,99.136
04-11-2011,NM-18445,FUR-CH-10002602,135.882
04-11-2011,NM-18445,TEC-MA-10002927,3991.98
04-11-2011,NM-18445,TEC-PH-10004093,275.94
04-11-2011,NM-18445,TEC-AC-10000892,360.0
04-11-2011,NM-18445,OFF-ST-10002974,43.57
19-09-2011,FA-14230,OFF-FA-10000624,7.16
24-04-2013,GK-14620,OFF-BI-10004593,251.52
24-04-2013,GK-14620,TEC-AC-10001908,99.99
04-11-2014,DJ-13510,FUR-FU-10001967,15.992
31-08-2013,PO-18850,TEC-PH-10003645,290.898
31-08-2013,PO-18850,OFF-ST-10000675,54.224
31-08-2013,PO-18850,FUR-CH-10003312,786.744
31-08-2013,PO-18850,OFF-LA-10001074,100.24
31-08-2013,PO-18850,OFF-BI-10001524,37.764
26-04-2013,JL-15850,TEC-PH-10004614,82.8
26-04-2013,JL-15850,OFF-BI-10001153,20.724
26-04-2013,JL-15850,OFF-BI-10001982,4.896
01-09-2012,DB-13615,OFF-BI-10001922,4.752
01-09-2012,DB-13615,TEC-CO-10001449,959.984
01-09-2012,DB-13615,OFF-BI-10004140,14.368
12-07-2011,AC-10420,OFF-BI-10003314,7.712
12-07-2011,AC-10420,FUR-TA-10004575,698.352
22-06-2012,KL-16645,OFF-FA-10000490,4.96
13-04-2011,JD-15895,OFF-AR-10000122,17.856
13-04-2011,JD-15895,OFF-BI-10003656,509.97
13-04-2011,JD-15895,OFF-FA-10002780,30.992
13-04-2011,JD-15895,TEC-PH-10000702,71.928
20-12-2012,CS-12130,OFF-ST-10000107,88.8
16-06-2014,CC-12550,TEC-PH-10002293,47.976
09-07-2014,TD-20995,OFF-AR-10004027,7.56
09-07-2014,TD-20995,OFF-PA-10000249,24.56
09-07-2014,TD-20995,OFF-AR-10001374,12.96
02-09-2013,AB-10060,TEC-AC-10000290,6.79
02-09-2013,AB-10060,OFF-PA-10001970,24.56
02-09-2013,AB-10060,OFF-BI-10002160,3.048
02-09-2013,AB-10060,OFF-PA-10001970,49.12
02-09-2013,AB-10060,OFF-BI-10004995,4355.168
09-04-2013,JL-15505,FUR-BO-10002268,388.704
09-04-2013,JL-15505,OFF-EN-10001137,8.26
09-04-2013,JL-15505,OFF-AR-10002399,17.04
09-04-2013,JL-15505,OFF-PA-10002713,34.4
24-04-2013,HK-14890,OFF-PA-10002666,36.24
09-03-2014,VB-21745,OFF-AP-10001124,647.84
09-03-2014,VB-21745,OFF-LA-10001158,20.7
26-09-2014,KW-16435,OFF-LA-10001158,20.7
26-09-2014,KW-16435,FUR-CH-10000785,488.646
26-09-2014,KW-16435,OFF-AR-10003732,5.56
26-09-2014,KW-16435,FUR-FU-10000023,47.12
24-09-2011,JD-16060,OFF-ST-10001713,211.96
22-10-2013,MK-17905,OFF-BI-10002412,23.2
22-10-2013,MK-17905,OFF-SU-10001225,7.36
22-10-2013,MK-17905,OFF-ST-10002406,104.79
22-10-2013,MK-17905,FUR-BO-10002545,1043.92
30-05-2014,GT-14755,OFF-PA-10002036,25.92
30-05-2014,GT-14755,OFF-ST-10002205,53.424
23-07-2011,AG-10900,OFF-BI-10001982,8.16
23-07-2011,AG-10900,TEC-AC-10003911,1023.936
23-07-2011,AG-10900,OFF-AR-10000658,9.24
23-07-2011,AG-10900,TEC-AC-10002076,479.04
29-09-2013,MM-18280,OFF-PA-10003039,99.136
28-08-2014,AR-10405,FUR-TA-10004915,1488.424
28-04-2012,RA-19915,OFF-AP-10000696,8.652
28-04-2012,RA-19915,OFF-ST-10003327,23.832
28-04-2012,RA-19915,OFF-BI-10000309,12.176
29-10-2013,AS-10285,OFF-PA-10004734,50.96
29-10-2013,AS-10285,OFF-BI-10002225,49.536
26-06-2012,LA-16780,TEC-AC-10004708,41.9
27-11-2012,DO-13435,FUR-TA-10000617,375.4575
27-11-2012,DO-13435,TEC-AC-10002335,83.976
03-12-2012,DK-13225,TEC-MA-10001681,482.34
03-12-2012,DK-13225,FUR-FU-10001935,2.96
24-11-2011,NG-18430,OFF-AR-10004757,2.624
12-12-2014,MV-18190,OFF-BI-10000050,23.36
12-12-2014,MV-18190,TEC-AC-10001998,39.98
21-09-2011,JG-15115,TEC-PH-10003012,246.384
21-09-2011,JG-15115,TEC-CO-10002313,1799.97
07-06-2011,BP-11095,OFF-BI-10003982,12.462
01-07-2014,VP-21730,OFF-BI-10004492,75.792
18-10-2014,SS-20140,OFF-ST-10000798,49.96
18-10-2014,SS-20140,OFF-PA-10002552,12.96
31-10-2012,HP-14815,OFF-SU-10002573,70.12
09-09-2013,AG-10675,OFF-ST-10001580,35.952
09-09-2013,AG-10675,FUR-BO-10004834,2396.2656
09-09-2013,AG-10675,OFF-ST-10000934,131.136
09-09-2013,AG-10675,TEC-AC-10000158,57.584
24-12-2011,LF-17185,OFF-PA-10001947,9.568
16-04-2011,SP-20650,OFF-AR-10003478,39.072
25-12-2014,RF-19840,OFF-AP-10004249,35.91
09-12-2014,KH-16510,TEC-AC-10000158,179.95
09-12-2014,KH-16510,TEC-CO-10004115,1199.976
09-12-2014,KH-16510,OFF-PA-10003724,27.15
09-12-2014,KH-16510,FUR-TA-10002041,1004.024
09-12-2014,KH-16510,OFF-PA-10002893,9.68
09-12-2014,KH-16510,OFF-LA-10003766,28.35
09-12-2014,KH-16510,OFF-PA-10001970,55.98
09-12-2014,KH-16510,FUR-BO-10001972,1336.829
09-12-2014,KH-16510,FUR-CH-10003956,113.568
04-11-2014,KC-16675,OFF-PA-10000157,139.86
04-11-2014,KC-16675,FUR-CH-10001891,307.136
25-06-2014,CJ-12010,OFF-AR-10004344,95.92
15-04-2013,PB-19150,FUR-CH-10004886,383.8
07-11-2014,VB-21745,OFF-PA-10003845,5.78
05-03-2014,SP-20860,OFF-AR-10001573,9.32
05-03-2014,SP-20860,OFF-EN-10000483,15.25
22-06-2011,JE-15745,TEC-AC-10004114,196.752
20-10-2014,MP-17965,FUR-FU-10004712,56.56
20-10-2014,MP-17965,OFF-ST-10000918,32.7
22-08-2014,NF-18385,FUR-CH-10000015,866.4
24-11-2014,JM-15265,FUR-FU-10003347,28.4
24-11-2014,JM-15265,OFF-BI-10001543,287.92
12-09-2011,SD-20485,TEC-MA-10000029,69.99
02-10-2014,KH-16630,OFF-AR-10000369,6.672
16-04-2013,RB-19795,OFF-BI-10004584,189.588
16-04-2013,RB-19795,TEC-AC-10004659,408.744
16-04-2013,RB-19795,TEC-AC-10004659,291.96
16-04-2013,RB-19795,OFF-ST-10000617,4.768
07-06-2013,DB-13060,OFF-ST-10003306,714.3
19-12-2011,MK-18160,OFF-BI-10000773,4.812
19-12-2011,MK-18160,TEC-AC-10002600,247.8
13-06-2013,PO-19180,TEC-MA-10002937,1007.979
13-06-2013,PO-19180,OFF-PA-10001970,313.488
16-09-2014,BB-11545,OFF-PA-10002230,31.872
21-01-2014,CV-12805,FUR-CH-10003396,207.846
06-09-2013,PK-19075,FUR-FU-10000246,12.22
06-09-2013,PK-19075,OFF-ST-10000060,194.94
06-09-2013,PK-19075,OFF-ST-10003058,70.95
06-09-2013,PK-19075,OFF-PA-10002222,91.36
06-09-2013,PK-19075,FUR-CH-10002372,242.94
06-09-2013,PK-19075,OFF-LA-10001317,22.05
21-03-2014,TB-21595,FUR-FU-10000206,2.91
02-04-2013,RB-19360,OFF-AR-10000588,59.52
02-04-2013,RB-19360,OFF-ST-10001469,161.94
02-04-2013,RB-19360,OFF-AR-10001953,263.88
02-04-2013,RB-19360,OFF-AR-10003156,30.48
02-04-2013,RB-19360,OFF-AR-10004974,9.84
02-04-2013,RB-19360,TEC-PH-10002365,35.12
21-10-2014,EB-13705,FUR-TA-10001539,284.364
21-10-2014,EB-13705,OFF-ST-10000142,665.408
14-12-2013,KH-16630,TEC-AC-10001772,63.88
13-02-2011,SC-20095,FUR-CH-10000225,129.568
27-09-2013,NF-18385,FUR-CH-10002331,747.558
27-09-2013,NF-18385,OFF-EN-10001415,8.928
15-12-2012,JH-15985,OFF-AP-10002472,103.92
15-12-2012,JH-15985,TEC-AC-10004571,899.91
15-12-2012,JH-15985,OFF-BI-10001098,51.312
23-04-2013,TN-21040,FUR-FU-10000023,23.56
23-04-2013,TN-21040,FUR-TA-10001889,1272.63
23-04-2013,TN-21040,OFF-BI-10000315,28.485
23-04-2013,TN-21040,OFF-SU-10003505,185.376
23-04-2013,TN-21040,OFF-AP-10002578,78.272
17-01-2012,JS-15940,FUR-FU-10002918,254.744
01-04-2014,DS-13180,FUR-BO-10002824,205.3328
17-12-2013,CC-12670,OFF-BI-10002194,4.788
20-12-2012,MH-17785,OFF-PA-10004071,55.48
09-11-2011,JP-15520,OFF-ST-10002743,340.92
09-11-2011,JP-15520,FUR-BO-10001601,222.666
09-11-2011,JP-15520,TEC-PH-10002680,703.968
09-11-2011,JP-15520,OFF-ST-10001321,92.52
09-11-2011,JP-15520,OFF-PA-10001509,62.65
09-11-2011,JP-15520,OFF-PA-10003465,94.85
13-07-2013,KH-16690,TEC-PH-10000149,95.76
28-10-2013,JE-15475,FUR-FU-10002671,40.2
27-06-2013,JG-15805,OFF-AR-10003045,14.7
27-06-2013,JG-15805,OFF-ST-10000689,704.25
06-10-2011,XP-21865,TEC-AC-10001445,9.09
22-07-2011,EM-14065,OFF-AR-10002053,5.96
22-07-2011,EM-14065,TEC-AC-10002567,159.98
11-06-2014,MT-18070,OFF-LA-10003923,29.6
11-06-2014,MT-18070,FUR-BO-10001337,514.165
11-06-2014,MT-18070,TEC-PH-10001924,279.96
29-10-2011,SA-20830,TEC-PH-10001363,2735.952
09-06-2011,CW-11905,TEC-PH-10000376,7.992
09-06-2011,CW-11905,TEC-AC-10000303,63.984
09-06-2011,CW-11905,OFF-AR-10001953,70.368
14-09-2011,AJ-10960,OFF-ST-10001809,449.15
14-09-2011,AJ-10960,OFF-EN-10003845,11.07
10-05-2013,SS-20590,TEC-AC-10000991,93.98
19-03-2013,RO-19780,FUR-TA-10001857,189.882
27-12-2012,MD-17350,OFF-EN-10001434,105.42
